"crypto_name","count(trade_date)"
"DigiMax DGMT","79"
"Digital Asset Exchange Token","293"
"Digital Asset Guarantee Token","743"
"Digital Currency Daily","17"
"Digital Gold","337"
"Digital Insurance Token","746"
"Digital Money Bits","1219"
"Digital Rand","75"
"Digital Reserve Currency","14"
"Digital Wallet","75"
"DigitalBits","401"
"DigitalNote","1751"
"DigitalPrice","1259"
"Digitalcoin","1746"
"Digitex Futures","877"
"Digiwage","731"
"Digix Gold Token","884"
"DigixDAO","1640"
"Dignity","702"
"Diligence","81"
"Dimecoin","1685"
"Dimension Chain","385"
"Dinastycoin","1187"
"Dinero","766"
"Dionpay","79"
"Diplexcoin","74"
"Dipper Network","63"
"Diruna","310"
"DistX","54"
"Distributed Energy Coin","74"
"Divi","728"
"DoDreamChain","81"
"DoYourTip","76"
"Dock","902"
"Doctors Coin","77"
"Documentchain","54"
"DogDeFiCoin","5"
